pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
26.4,7.6,6.8,45.4,18.1,194.89,0.63,18.87,0,2182.6,828,2000
26.4,7.6,6.8,44.9,18.2,205.33,0.58,18.39,0,1982.9,828,386
12.7,7,6.8,44.8,18.3,198.41,0.54,19.25,0,1764,806,40
12.7,7,6.8,44.5,18.4,197.5,0.53,18.8,0,1603.3,806,246
12.7,7,6.8,44.4,18.5,201.33,0.52,20.33,0,1509.4,806,6
9.8,6.3,5.8,45,18.6,196.51,0.5,21.48,0,1461,789,6
12.2,6.6,5.8,43.8,18.7,192.93,0.5,22.15,0,1422.4,789,180
11.8,8.5,7.8,43.6,19.1,270.31,0.33,9.15,0,1062,674,0
14.7,11.4,10.8,43.6,19.1,268.67,0.32,10.41,0,1073.2,674,0
13.2,10.2,9.7,43.9,19.1,265.17,0.33,10.62,0,1080.5,674,0
13.2,10.2,9.7,43.9,19.1,261.26,0.33,10.71,0,1087.3,674,0
12.6,8.8,7.8,44.1,19.3,261.64,0.33,10.73,0,1091.7,676,0
12.6,8.8,7.8,44.1,19.3,262.83,0.33,10.93,0,1102.8,676,0
13.6,8.7,7.8,44.3,19.3,264.02,0.33,11.8,0,1114.3,687,0
13.9,8.6,7.8,44.5,19.5,264,0.33,11.81,0,1134.2,691,0
15.3,8.5,7.8,44.5,19.5,262.74,0.33,12.15,0,1139.6,698,0
13.5,8.3,7.8,44.7,19.6,263.94,0.33,11.95,0,1145.2,706,0
13.7,8.6,7.8,44.8,19.6,263.89,0.35,12.26,0,1158.9,723,0
15.1,8.4,7.8,45,19.7,263.86,0.34,12.88,0,1164.2,733,0
16.3,9,8.7,44.7,19.7,262.6,0.34,12.48,0,1169.7,754,0
14.6,9.3,8.7,45.5,19.8,262.77,0.34,11.85,0,1172.6,775,0
16.6,8.7,7.8,45,19.9,266.62,0.35,13.61,1.3,1196.6,789,0
21.1,9,7.8,45.2,19.9,261.68,0.35,11.26,1.3,1185.3,825,0
21,8.8,7.8,44.9,20.1,262.47,0.35,11.21,1.3,1184,836,0
18.9,9,8.7,44.7,20.1,263.66,0.35,11.65,1.3,1185.7,836,0
18.9,9,8.7,44.9,20,264.43,0.36,11.88,1.3,1187.6,836,0
16.4,8.7,7.8,44.9,20.1,265.61,0.35,12.43,1.3,1196.8,870,0
18.8,8.7,7.8,44.8,20.2,263.93,0.35,11.64,1.3,1197.2,884,0
19.9,8.9,7.8,45.3,20.3,264.92,0.36,12.62,1.3,1202.4,898,0
19.9,8.9,7.8,45.5,20.4,267.33,0.36,12.77,1.3,1216.1,898,0
19.7,8.8,8.7,45.1,20.4,264.82,0.37,12.88,1.3,1217,912,0
22.6,9,7.8,44.7,20.5,261.32,0.36,11.7,1,1200,917,0
18.6,8.1,7.8,44.9,20.5,262.5,0.37,11.52,1,1194.2,923,0
18.6,8.1,7.8,45.2,20.6,264.92,0.36,12.49,1,1201.8,923,0
23,8.5,7.8,45.1,20.5,266.31,0.37,11.99,1,1205.8,926,0
23,8.5,7.8,44.9,20.7,267.08,0.37,12.32,1,1208.3,926,0
26.2,8.5,7.8,44.9,20.7,263.16,0.37,11.35,1,1200.5,931,0
19.9,8.4,7.8,44.9,20.8,263.53,0.37,11.69,1,1196.5,940,0
19.9,8.4,7.8,45,20.7,267.16,0.36,11.85,1,1202.6,940,0
21.5,8.9,7.8,45.1,20.9,268.77,0.37,12.01,1,1210.8,945,0
21.5,8.9,7.8,45.2,20.9,269.34,0.36,12.51,1,1217.9,945,0
20.4,8.5,7.8,44.9,20.8,266.86,0.36,11.79,1.3,1216.1,951,0
20.5,8,7.8,45.1,21,266.82,0.37,11.93,1.3,1207.9,958,0
19.6,8.6,7.8,45.5,21.1,269.63,0.36,12.01,1.3,1211.6,958,0
19.6,8.6,7.8,45.4,21.1,269.39,0.36,12.95,1.3,1223,965,0
19.6,8.6,7.8,45.2,21.1,268.95,0.36,12.14,1.3,1228,965,0
20.8,9.1,8.7,45.5,21.3,270.75,0.36,13.22,1.3,1240.1,982,0
18,8.4,7.8,45,21.2,263.78,0.37,11.22,1.3,1226.2,996,0
26,9,8.7,45.2,21.3,266.4,0.37,10.85,1.3,1221,1003,0
19.2,8.5,7.8,44.9,21.2,266.77,0.37,10.87,1.3,1220.7,1011,0
25.2,9,8.7,45.2,21.2,267.56,0.37,11.33,1.3,1219.4,1018,0
21.3,8.4,7.8,45.1,21.3,269.15,0.37,10.74,1.3,1222.4,1018,0
24.2,8.7,7.8,45,21.4,270.35,0.36,11.34,1,1222.6,1031,0
23,8.8,7.8,44.6,21.5,268.88,0.36,9.97,1,1211.3,1037,0
23,8.8,7.8,44.5,21.4,271.29,0.37,9.93,1,1202.4,1043,0
22.8,8.8,7.8,44.6,21.5,273.5,0.37,10.68,1,1202,1052,0
22.8,8.8,7.8,44.6,21.5,273.47,0.37,10.53,1,1203,1052,0
22.9,9.9,8.7,44.7,21.6,273.63,0.37,10.19,1,1204.6,1055,0
27.7,10.2,9.7,44.6,21.5,275.44,0.36,10.05,1,1206.6,1058,0
27.7,10.2,9.7,44.5,21.6,275.81,0.37,9.75,1,1207.3,1058,0
34,12,11.6,44.6,21.7,274.76,0.37,9.16,1,1206.7,1062,0
31.2,12.3,11.6,44.5,21.8,276.56,0.36,9.97,1.2,1208.1,1065,0
32,12.2,11.6,44.5,21.7,276.34,0.37,9.91,1.2,1207,1071,0
29.1,12.6,11.6,44.4,21.8,275.68,0.37,8.45,1.2,1202,1082,0
29.1,12.6,11.6,44.4,21.8,278.93,0.37,9.03,1.2,1202.9,1085,0
29.7,12,11.6,44.6,21.9,279.28,0.36,8.95,1.2,1205.9,1089,0
30.9,12,10.7,45.4,21.9,279.27,0.36,8.82,1.2,1209.8,1093,0
31.8,12.9,11.6,44.7,21.9,288.99,0.36,13.35,1.2,1253,1099,0
31.8,12.9,11.6,44.1,21.9,269.86,0.37,7.12,1.2,1220,1099,0
31.8,12.9,11.6,44,22,272.67,0.37,8.16,1.2,1193.4,1099,0
31.4,12.8,11.6,44,22,276.51,0.37,8.39,1.2,1189,1099,0
28.9,13.4,12.6,44.3,22.1,278.51,0.37,9.3,1.2,1190.6,1099,0
29.6,12.9,11.6,43.8,22.1,274.01,0.37,8.77,1.3,1195.3,1109,0
30.3,13.5,12.6,43.2,22,266.67,0.37,6.27,1.3,1169.2,1111,0
30.3,13.5,12.6,43,22.1,266.24,0.37,6.41,1.3,1146.8,1111,0
30.3,13.5,12.6,42.2,22.1,262.16,0.36,6.36,1.3,1130.1,1111,0
22.4,17.8,16.5,43.2,20.2,263.93,0.33,5.67,1.3,1030.9,747,0
23,18.4,17.5,43.3,20.2,263.74,0.33,6.78,1.3,1030.3,747,0
25.1,19.1,18.4,43.2,20.3,263.94,0.32,6.95,1.3,1041.3,748,0
25.1,19.1,18.4,43.2,20.4,257.18,0.32,6.86,1.3,1036,748,0
26.8,21.4,20.4,43.2,20.3,254.11,0.33,8.17,1.3,1038.1,751,0
24.2,19.3,18.4,43.1,20.3,252.25,0.34,8.73,1.3,1038.7,753,0
24.2,19.3,18.4,43.3,20.5,252.03,0.34,8.65,1.3,1052.6,753,0
27.1,22.5,21.3,43.2,20.5,246.49,0.35,9.54,1.3,1063.7,757,0
27.3,22.4,21.3,43,20.5,244.83,0.35,8.61,1.3,1058.5,769,0
28.7,22.6,21.3,43,20.5,243.37,0.36,8.61,1.3,1048.6,776,0
31.2,22.5,21.3,42.8,20.5,239.69,0.37,8.32,1.3,1047.7,801,0
30,22.2,21.3,42.2,20.5,237.83,0.37,6.66,1.3,1038.8,810,0
31.2,22.9,21.3,42,20.6,235.15,0.38,5.13,1.3,1014.4,821,0
31.3,21.7,20.4,41.2,20.6,236.16,0.38,5.71,1.3,997.5,821,0
35.4,20.7,19.4,41.8,20.8,229.01,0.39,3.58,1.3,951.5,833,0
29.3,20.3,19.4,42.9,20.8,242.44,0.37,7.98,1.3,991.1,858,0
29.3,20.3,19.4,42.6,20.7,247.5,0.36,9.38,1.3,1046.5,858,0
27.7,20.4,19.4,43.1,20.8,240.35,0.37,8.19,1.3,1048.2,893,0
26.8,19.7,18.4,42.5,20.8,241.55,0.36,8.76,1.3,1056.7,904,0
26.8,19.7,18.4,43.4,20.8,240.95,0.37,7.59,1.3,1052.6,923,0
26.3,19.3,18.4,43.1,20.7,245.2,0.37,9.29,1.3,1088,943,0
26.3,19.3,18.4,43.9,20.8,237.24,0.38,7.59,1.3,1087.2,943,0
27.3,19.1,18.4,44.2,20.9,243.74,0.36,10.46,1.3,1112.7,968,0
27,18.4,17.5,44.3,20.9,243.12,0.37,9.67,1.3,1131.8,980,0
26.2,18.1,17.5,44.6,21,242.08,0.38,9.75,1.7,1135.8,992,0
25.8,18.1,17.5,44.7,21,243.69,0.39,11.54,1.7,1153.5,1004,0
25.8,18.1,17.5,43.9,21,234.51,0.38,9.19,1.7,1145.9,1004,0
28.9,18.5,17.5,43.5,21,232.26,0.4,8.34,1.7,1124.2,1004,0
32,18.6,17.5,43.3,21.1,234.49,0.4,7.89,1.7,1113.6,1017,0
27.2,17.8,16.5,42.7,21.1,233.66,0.4,7.08,1.7,1095.9,1041,0
27.6,17.4,16.5,43,21.1,230.79,0.41,5.76,1.7,1074.7,1041,0
27.6,17.4,16.5,43.3,21.1,236.46,0.4,7.25,1.7,1081.8,1041,0
24.1,17.1,16.5,43,21.2,237.67,0.39,7.46,1.7,1085.9,1053,0
24.1,17.1,16.5,43.1,21.2,237.45,0.4,6.49,1.7,1080.6,1053,0
25.4,18.1,17.5,42.9,21.1,237.44,0.4,6.8,2,1082.9,1066,0
25.4,18.1,17.5,43.6,21.2,240.08,0.4,7.23,2,1090.5,1066,0
25.4,18.1,17.5,43.6,21.2,241.9,0.39,8.27,2,1104.7,1066,0
24.3,17,16.5,43.6,21.3,245.34,0.4,9.4,2,1119.3,1066,0
25.1,16.3,15.5,44,21.3,244.52,0.39,8.28,2,1119.2,1080,0
25.1,16.3,15.5,43.4,21.3,243.07,0.39,9.06,2,1125.6,1080,0
25.1,16.3,15.5,43.3,21.4,240.82,0.41,6.43,2,1109.9,1080,0
26.1,17.1,16.5,42.6,21.3,238.36,0.4,6.01,2,1096.4,1095,0
26.1,17.1,16.5,42.1,21.4,234.9,0.4,5.23,2,1068.2,1095,0
23.9,17.1,16.5,41.7,21.4,234.28,0.4,5.09,2,1051.3,1125,0
24.1,16.8,15.5,41.4,21.5,234.26,0.4,3.85,2,1029.6,1139,0
24.1,16.8,15.5,42,21.4,234.87,0.39,3.57,2,1016.1,1139,0
24.1,16.8,15.5,43,21.5,245.43,0.39,7.3,2,1055.9,1139,0
23.2,17,16.5,44,21.5,252.13,0.39,8.33,1.7,1104,1164,0
25,17.3,16.5,44.3,21.4,253.74,0.39,9.11,1.7,1131.3,1176,0
25,17.3,16.5,44,21.4,252.71,0.4,9.8,1.7,1147.9,1176,0
25.1,16.9,16.5,43.3,21.5,246.38,0.39,7.52,1.7,1143.7,1208,0
25.1,16.9,16.5,43.2,21.4,240.47,0.41,6.4,1.7,1116.2,1208,0
22.6,16.4,15.5,43.1,21.5,245.75,0.41,7.15,1.7,1114.8,1229,0
22.6,16.4,15.5,42.1,21.6,239.45,0.42,5.4,1.7,1093.3,1229,0
24.2,16.7,15.5,42.2,21.6,234.56,0.41,3.54,1.7,1052.9,1240,0
24.6,17,16.5,43.1,21.6,244.32,0.42,6.59,1.8,1068.5,1258,0
24.6,17,16.5,43.3,21.5,250.8,0.41,8.21,1.8,1105.7,1258,0
25.8,17.6,16.5,43.2,21.6,246.72,0.41,7.83,1.8,1106,1266,0
26.2,17.7,16.5,44,21.6,250.38,0.41,7.9,1.8,1122.9,1273,0
25.7,17.6,16.5,44.2,21.6,251.19,0.42,9.26,1.8,1144.4,1280,0
24.9,17.7,16.5,44,21.6,250.56,0.42,7.89,1.8,1147.5,1288,0
26.6,18,17.5,44.1,21.6,251.36,0.42,8.15,1.8,1150.6,1303,0
29.1,22.9,21.3,42.9,21.6,245.86,0.43,6.47,1.8,1138.1,1303,0
32.6,24.5,23.3,43.1,21.6,244.22,0.45,5.83,1.8,1112,1310,0
32.6,24.5,23.3,42.4,21.7,245.64,0.45,5.36,1.8,1104.4,1325,0
28.8,21,20.4,42.1,21.6,240.56,0.45,3.74,1.7,1069.2,1331,0
28.8,21.7,20.4,42.8,21.7,249.49,0.45,5.64,1.7,1071.7,1338,0
31,22.1,21.3,42.8,21.7,249.89,0.44,5.01,1.7,1084.3,1344,0
33.8,23.3,22.3,43.6,21.7,252.73,0.45,6.05,1.7,1093.5,1357,0
33.8,23.3,22.3,44.1,21.7,258.82,0.44,7.8,1.7,1126.9,1357,0
33.8,23.3,22.3,44.1,21.6,259.62,0.45,7.94,1.7,1149.8,1357,0
29,22.8,21.3,44,21.7,260.21,0.46,7.83,1.7,1152,1373,0
30,23.1,22.3,43.7,21.7,258.78,0.47,7.49,1.7,1146.8,1380,0
30.7,23.2,22.3,42.9,21.6,252.28,0.48,5.46,1.7,1124.8,1395,0
34.2,23.6,22.3,43,21.8,255.31,0.47,4.2,1.8,1107.3,1407,0
33,24.2,23.3,42.1,21.7,251.65,0.47,3.54,1.8,1090.8,1414,0
33,24.2,23.3,42.1,21.7,249.61,0.48,1.04,1.8,1061.8,1414,0
30.5,24.4,23.3,41.8,21.8,251.86,0.47,2.77,1.8,1056.5,1420,0
33.7,24.8,23.3,42.8,21.8,256.12,0.48,2.28,1.8,1056.6,1426,0
32.2,24.8,23.3,43.7,21.8,265.86,0.47,5.79,1.8,1099,1426,0
35.2,27.1,26.2,42.9,21.7,268.9,0.47,6.73,1.8,1132.2,1441,0
35.2,27.1,26.2,43.5,21.8,258.54,0.48,4.99,1.8,1110.2,1441,0
38.4,30,28.1,44,21.7,265.64,0.49,6.16,1.8,1132.4,1448,0
38,30.9,29.1,44.6,21.8,270.31,0.49,6.9,1.8,1160.2,1468,0
39.6,32.3,31,44,21.8,268.87,0.5,7.84,1.8,1178,1473,0
40.3,32.6,31,44.8,21.6,269.69,0.5,8.6,1.8,1169.5,1473,0
40.9,32,30.1,44,21.9,264.79,0.51,6.65,1.8,1178.6,1486,0
44.6,38.2,36.9,43.4,21.8,260.72,0.54,4.14,1.8,1147.6,1499,0
45.6,38.6,36.9,42.9,21.9,262.13,0.55,4.76,1.8,1134.7,1511,0
43.5,34.9,34,42.1,21.8,257.06,0.54,1.26,1.8,1109.2,1522,0
43.5,34.9,34,42.8,21.8,258.69,0.54,1.16,1.8,1091.2,1526,0
39.6,31.9,31,43.9,21.8,269.65,0.53,4.93,1.8,1121.4,1539,0
41.5,34.2,33,43.3,21.8,269.44,0.53,3.99,1.8,1142.1,1539,0
41.5,34.2,33,43.7,21.8,269.64,0.54,5.36,1.8,1143.8,1543,0
41.5,34.2,33,44.6,21.7,277.54,0.53,7.15,1.8,1176.7,1543,0
42.4,33.9,32,44.9,21.9,276.33,0.54,7.81,1.8,1199.3,1547,0
42.4,33.9,32,45.1,21.8,279.97,0.53,8.85,1.8,1219.1,1547,0
42.4,33.9,32,44.6,21.9,275.28,0.54,8.06,1.8,1232.2,1547,0
42.4,33.9,32,44.4,21.9,266.76,0.56,4.24,1.8,1205.9,1547,0
40.8,33.5,32,43.7,21.8,267.99,0.56,5.74,1.8,1188.6,1553,0
41.3,33.5,32,42.9,21.9,264.51,0.55,3.88,1.8,1159,1558,0
43.1,35.4,34,42.3,21.9,261.88,0.57,1.02,1.8,1122.8,1569,0
46.9,34.7,33,43,21.8,262.69,0.57,0,1.8,1092.2,1574,0
41.4,35.3,34,44.3,21.8,274.86,0.57,5.87,1.8,1123.5,1588,0
43.2,35.2,34,44.8,21.9,288.25,0.55,7.75,1.8,1185.2,1593,0
43.2,35.2,34,45,21.9,286.02,0.56,7.48,2,1219.4,1604,0
43.2,35.2,34,45.5,21.8,286.42,0.57,8.08,2,1230.3,1604,0
42.3,34.3,33,44.7,21.8,283.98,0.58,7.32,2,1233.6,1611,0
42.3,34.3,33,44.4,21.8,274.22,0.59,5.24,2,1213.9,1611,0
42.3,34.3,33,43.9,21.8,276.25,0.59,5.55,2,1208.5,1611,0
43.7,35.2,34,43.2,21.8,274.01,0.6,2.82,2,1189.4,1628,0
45.1,35.9,34,42.3,21.9,267.52,0.6,0,2,1143.7,1636,0
45.7,36.9,35.9,43.6,21.8,266.91,0.6,0.55,2,1114.5,1646,0
43.9,37.3,35.9,45,21.8,283.54,0.6,6.03,2,1154.2,1651,0
44.5,36.5,34.9,45.6,21.8,292.67,0.6,9.14,2.2,1223.5,1662,0
44.9,37.5,35.9,45.7,21.8,289.41,0.59,7.43,2.2,1254.4,1680,0
44.7,37.7,35.9,44.4,21.7,292.86,0.6,8.33,2.2,1269.5,1698,0
44.3,36.6,34.9,45,21.8,287.18,0.6,6.4,2.2,1259.8,1706,0
47,38.6,36.9,44.6,21.8,281.49,0.61,5.23,2.2,1238.6,1711,0
46.9,37.8,35.9,44.2,21.9,283.73,0.62,4.93,2.2,1223.1,1714,0
46.6,39.7,37.8,43.3,21.8,281.9,0.63,2.49,2.2,1206.6,1718,0
49.4,39.5,38.8,43.2,21.8,277.65,0.65,0,2.2,1168.3,1724,0
45.4,38.8,36.9,44.5,21.8,282.71,0.64,4.29,2.2,1157.7,1726,0
45.4,38.8,36.9,44.7,21.9,292.85,0.63,5.89,2.2,1196.3,1726,0
49,38.9,36.9,43.7,21.8,285.94,0.63,3.63,2.2,1194.8,1728,0
49.6,39.7,37.8,45,21.8,291.22,0.64,6.96,2.2,1197.5,1731,0
49.6,39.7,37.8,45.2,21.8,294.85,0.63,7.27,2.2,1228.8,1731,0
50.3,41.1,40.7,45.2,21.8,286.93,0.65,8.69,2.2,1228.3,1736,0
54.4,45.4,43.7,44.9,21.8,273.74,0.67,9.24,2.2,1231.4,1733,0
58.7,48.6,46.6,44.4,21.9,259.55,0.68,10.47,2.2,1225.9,1733,0
53.1,40.2,38.8,43.9,21.9,250.61,0.7,10.59,2.2,1209.3,1707,0
51.6,40.5,38.8,44.1,21.9,279.62,0.68,8.51,2.2,1213.8,1696,0
51.6,40.5,38.8,43.5,21.9,268.46,0.67,10.02,2.2,1219.4,1696,0
49.3,40.7,38.8,42.7,21.8,255.67,0.69,6.56,2.2,1177.5,1683,0
54,42,40.7,41.9,21.9,265.81,0.68,5.24,2.6,1151.7,1658,0
51.7,44.1,42.7,43,22,271.9,0.68,5.93,2.6,1129.5,1612,0
54.4,41.3,39.8,44,21.8,290.35,0.67,9.48,2.6,1176.8,1600,0
54.4,41.3,39.8,44.4,21.9,294.61,0.67,9.03,2.6,1219.2,1590,0
46.8,41.7,39.8,45,22,295.42,0.67,9.71,2.6,1242.6,1582,0
53,42.2,40.7,45.1,21.9,297.43,0.67,10.56,2.6,1260.1,1582,0
51.3,42.7,40.7,45.1,21.9,294.58,0.67,9.72,2.6,1263.2,1577,0
51.3,42.7,40.7,44.8,21.9,294.17,0.68,9.81,2.6,1268.1,1576,0
48.5,42.2,40.7,44.1,21.9,284.23,0.67,7.27,2.6,1251.9,1578,0
48.5,42.2,40.7,43.8,21.9,285.85,0.68,6.75,2.6,1224.3,1578,0
48.5,42.2,40.7,43.3,21.9,287.87,0.69,6.31,2.6,1200.4,1578,0
52.1,44.8,42.7,42.7,21.9,284.82,0.7,4.79,2.5,1175.7,1583,0
52,45.3,44.6,42.3,21.9,283,0.71,3.14,2.5,1143.7,1589,0
59.3,50.9,50.4,43.4,21.9,291.94,0.7,4.79,2.5,1146,1606,0
58.8,51,49.5,44,21.9,302.48,0.7,7.39,2.5,1187.7,1611,0
58,51.8,49.5,44.3,21.9,304.9,0.7,8.69,2.5,1222.2,1626,0
60.5,51.3,49.5,44.9,21.9,305.5,0.7,8.3,2.5,1240,1630,0
59.8,50.9,48.5,45.1,21.8,307.13,0.71,8.4,2.5,1263.4,1635,0
58,50.3,49.5,45.1,22,307.93,0.71,8.26,2.5,1272.1,1640,0
60.9,51,48.5,45.1,22,307.32,0.71,8.49,2.5,1281.8,1650,0
60.2,50.2,49.5,44.4,21.9,301.83,0.72,7.19,2.4,1272.9,1659,0
61.9,50.6,48.5,44.2,21.9,300.22,0.73,5.81,2.4,1252.7,1665,0
61.9,50.2,48.5,43.7,22,299.4,0.73,5.96,2.4,1237.5,1665,0
64.7,50.6,48.5,43,21.9,295.15,0.75,3.49,2.4,1210,1665,0
59.7,50.7,48.5,43.4,22,292.31,0.75,2.2,2.4,1176.6,1669,0
59.9,50,49.5,44.4,21.9,305.89,0.74,6.45,2.4,1206,1686,0
59.9,50,49.5,43.5,21.9,307.1,0.74,6.45,2.4,1236,1686,0
61,50.9,49.5,44.4,21.9,302.65,0.75,4.36,2.4,1218.7,1691,0
61,50.9,49.5,44.9,21.9,313.61,0.75,7,2.4,1253,1691,0
63.9,51.4,48.5,45.4,21.9,317.64,0.74,9.21,2.4,1285.1,1696,0
59,50.3,47.5,45.8,21.8,317.03,0.74,7.98,2.4,1301.6,1702,0
56,49.9,48.5,45.3,21.9,315.21,0.75,8.22,2.1,1313.4,1720,0
56,49.9,48.5,44.8,21.9,303.64,0.76,6.13,2.1,1293.5,1720,0
62.6,51.5,50.4,44.6,21.9,305.06,0.77,6.32,2.1,1268.5,1726,0
62.6,51.5,50.4,43.7,22,302.22,0.77,5.11,2.1,1252.9,1726,0
60.8,52.1,50.4,43.3,21.8,297.57,0.78,0,2.1,1214.6,1732,0
60.8,52.1,50.4,44.5,21.9,302.23,0.77,4.74,2.1,1213.4,1732,0
62.1,51.8,50.4,45.3,21.9,317.44,0.77,7.39,2.1,1259,1739,0
61.3,54.5,52.4,46.2,22,322.51,0.78,9.26,2.1,1301.3,1752,0
60.1,53.5,51.4,46.3,21.8,322.3,0.79,9.6,2.1,1328.9,1766,0
60.9,54.2,52.4,45.7,21.9,319.25,0.79,9.03,2.1,1344.3,1766,0
64,56.1,54.3,44.8,21.9,307.9,0.8,5.8,1.8,1310.7,1772,0
63.7,57,54.3,44.6,21.9,305.87,0.82,3.18,1.8,1279.4,1780,0
64.7,57.6,56.3,44,21.9,309.12,0.82,4.05,1.8,1262.4,1793,0
65.5,58.3,56.3,43.9,21.8,304.25,0.83,1.04,1.8,1229.8,1804,0
66.1,59,58.2,44.9,21.9,316.64,0.84,4.3,1.8,1244.3,1809,0
65.6,58.5,57.2,45.3,21.9,324.54,0.83,7.38,1.8,1284.1,1820,0
66.9,59.8,57.2,46.1,21.9,328.6,0.83,7.2,1.8,1314.2,1827,0
69.8,62.5,61.1,46.6,21.9,332.06,0.83,9.37,1.8,1348.7,1830,0
71.6,63.8,61.1,45.7,21.9,327.38,0.84,7.98,1.8,1365.6,1838,0
75,66.9,64,44.5,21.8,312.37,0.87,3.3,1.8,1314.7,1846,0
75,66.9,64,43.8,21.9,311.37,0.88,0,1.8,1273.2,1849,0
77.8,69.3,66.9,44.9,21.8,315.43,0.89,1.78,1.8,1253.5,1854,0
81.4,72.8,70.8,46,21.9,331.46,0.89,7.47,1.8,1296.9,1860,0
81.4,72.8,70.8,46.3,21.8,337.33,0.89,8.41,1.8,1337.1,1860,0
83.2,74.5,72.7,47.1,21.8,341.6,0.9,10.01,1.8,1364.5,1864,0
83.2,74.5,72.7,46.2,21.8,340.16,0.9,8.95,1.8,1395.6,1864,0
83.2,74.5,72.7,45.6,22,325.36,0.91,4.05,1.8,1353.8,1864,0
85,76.2,74.7,46.3,21.9,331.46,0.92,6.43,1.8,1352.8,1864,0
81.1,72.5,69.8,46.9,21.8,337.95,0.91,8.5,1.8,1381.3,1869,0
81.7,73.1,70.8,47.1,21.9,339.37,0.91,7.41,1.7,1399,1879,0
83.1,74.4,70.8,47.9,21.9,343.23,0.92,10.01,1.7,1409.7,1879,0
83.1,74.4,70.8,46.3,21.9,340.98,0.92,8.95,1.7,1426.8,1879,0
85,76.3,74.7,45.3,21.8,328.59,0.94,5.08,1.7,1386.6,1892,0
83.8,74.9,73.7,45.3,21.8,326.18,0.94,3.89,1.7,1348.4,1899,0
85.7,76.7,74.7,44.4,21.9,327.59,0.95,2.71,1.7,1329.9,1905,0
87.7,78.6,76.6,45.4,21.8,327.2,0.96,2.26,1.7,1303.8,1911,0
87.7,78.6,76.6,46.1,21.9,342,0.95,6.55,1.7,1342.2,1911,0
94.4,84.7,81.5,46.9,21.9,345.86,0.96,7.32,1.7,1381.4,1928,0
93.9,84.2,80.5,47,21.9,348.29,0.97,7.37,1.7,1399.3,1943,0
94.7,85,83.4,46.3,21.8,352.98,0.97,8.86,1.7,1411.8,1943,0
93.7,84.1,81.5,44.8,21.8,342,0.97,3.31,1.7,1390.3,1946,0
96.5,86.3,83.4,45.7,21.9,336.32,0.99,1.2,1.7,1339.1,1949,0
96.3,86.4,85.4,46.5,21.8,292.92,0.83,4.85,1.7,1138.8,1952,0
98.8,88.7,86.3,47.2,21.8,360.88,1,7.95,1.7,1403.9,1953,0
98.8,88.7,86.3,47.5,21.8,362.49,1,8.1,1.7,1431.2,1956,0
98.8,88.7,86.3,46.7,21.9,362.08,1,7.21,1.7,1449.2,1956,0
94.1,84.2,82.5,45.4,21.8,353.55,1.02,4.48,1.7,1432.2,1957,0
94.1,84.2,82.5,44.8,21.9,348.09,1.03,0,1.7,1380.7,1957,0
98.9,88.6,86.3,44.4,21.8,351.95,1.03,0,1.7,1352.2,1960,0
100.7,90.4,88.3,45.5,21.8,355.41,1.03,1.53,1.5,1339.5,1962,0
97.6,87.5,83.4,46.6,21.8,375.5,1.03,7.6,1.5,1397.5,1962,0
97.5,87.5,84.4,47.2,21.8,378.33,1.02,8.51,1.5,1443.6,1962,0
97.5,87.5,84.4,47.4,21.9,381.57,1.03,8.68,1.5,1465.2,1962,0
100.5,90.4,87.3,46.4,21.8,381.78,1.03,7.43,1.5,1476.6,1963,0
99.8,89.3,86.3,45.1,21.8,368.18,1.05,1.15,1.5,1431,1966,0
98.5,87.9,86.3,45,21.8,366.56,1.06,2.27,1.5,1384.4,1972,0
100.7,90.2,88.3,44.3,21.8,369.39,1.05,0.49,1.5,1363.6,1975,0
103.8,93,90.2,45.4,21.7,372.67,1.06,1.3,1.5,1344.6,1976,0
104.5,93.8,92.2,46.2,21.8,391.73,1.06,5.88,1.5,1389.5,1980,0
97.8,87.7,84.4,46.5,21.8,391.52,1.06,8.37,1.5,1419.4,1986,0
102.7,92.2,90.2,47.4,21.7,386.46,1.06,8.1,1.7,1446.3,1992,0
108.8,97.6,96,46.5,21.7,392.34,1.08,9.22,1.7,1479.4,1996,0
108.6,97.1,95.1,45.1,21.7,377.33,1.09,3.35,1.7,1441.8,1996,0
114.3,102.5,98.9,44.5,21.7,374.89,1.11,0,1.7,1388.9,1996,0
116.7,104.4,100.9,45.2,21.7,384.04,1.12,2.29,1.7,1368.9,1993,0
116.7,104.4,100.9,46.3,21.8,401.68,1.1,6.15,1.7,1405.8,1993,0
116.7,104.4,100.9,46.6,21.7,410.82,1.11,8.3,1.7,1448.7,1993,0
113.3,101.6,99.9,47.3,21.8,415.08,1.11,7.94,1.7,1476.6,1994,0
117.5,105.3,101.9,46.8,21.7,420.15,1.12,8.83,1.7,1497.8,1995,0
114.3,102.4,99.9,45.4,21.8,408.58,1.13,3.01,1.7,1464.4,1995,0
114.4,102.7,98.9,44.9,21.7,404.92,1.15,0.47,1.5,1419.8,1995,0
114.4,102.5,98.9,44.1,21.7,405.34,1.14,0,1.5,1386.9,1995,0
114.4,102.5,98.9,44.9,21.7,407.79,1.14,0,1.5,1363.4,1995,0
115.6,103.7,99.9,45.5,21.8,427.07,1.13,5.73,1.5,1401.5,1994,0
115.6,103.7,99.9,46.6,21.7,435.98,1.13,6.79,1.5,1440.5,1992,0
