tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-06-19,9,47.7,503,14.4,,1.1,,0.021,12.6,154,,
2019-06-19,9,41.7,521,15,,1.6,,0.023,13.4,153.6,,
2019-04-15,9,44,424,7.7,,2.1,,,,,,
2019-04-15,9,29.5,565,23.2,,2.4,,,,,,
2019-06-04,8,39.8,308,54.6,,0.6,,,,,,
2019-06-04,8,37.1,293,42.5,,0.7,,,,,,
2019-05-03,10,40.8,630,14.3,,0.8,,0.016,59,50.6,,
2019-05-03,10,44,606,18.2,,0.7,,0.015,43,43.7,,
2019-02-19,9,42.3,796,26.3,,0.5,,0.013,52.1,257.8,,
2019-02-19,9,94.5,659,32.4,,0.6,,0.018,61.9,305.5,,
2019-03-21,9,30.7,598,26.4,,0.7,,0.025,32.2,390.6,,
2019-03-21,9,26.3,775,25.3,,0.8,,0.031,44.5,379.2,,
2019-05-20,10,29.3,848,21.1,,0.7,,,,,,
2019-05-20,10,25.7,811,50.4,,0.7,,,,,,
2019-03-13,10,40.7,842,25.8,,1.3,,0.012,70.1,321.3,,
2019-03-13,10,58,832,33.1,,1.5,,0.023,55.7,344.9,,
2019-07-04,9,35.3,714,32.3,,0.5,,0.015,52.3,106.2,,
2019-07-04,9,40.2,819,27,,0.7,,0.014,45,144.7,,
2019-06-13,10,63.9,467,58.6,,3.8,,,,,,
2019-06-13,11,68.3,875,74.9,,4.3,,,,,,
2019-06-12,9,50.5,522,17.3,,1.1,,0.037,14.7,85.4,,
2019-06-12,9,36.1,745,40.9,,1.6,,0.022,36.1,210.9,,
2019-04-29,10,30.2,653,19.8,,0.8,,0.043,22.2,38.5,,
2019-04-29,9,32.9,526,25.8,,0.9,,0.037,27,59.2,,
2019-04-16,9,46.6,548,3.1,,2.1,,,,,,
2019-04-16,9,41.4,797,14.7,,2.3,,,,,,
2019-02-08,10,103.4,668,6,,1.3,,,,,,
2019-02-08,10,108.1,741,8.3,,0.8,,,,,,
2019-06-25,10,46.9,507,41.3,,1.5,,,,,,
2019-06-25,10,41.7,512,46.2,,1.7,,,,,,
2019-06-25,10,40.3,511,72.5,,1.5,,,,,,
2019-06-25,10,39.2,538,73.3,,1.7,,,,,,
2019-05-29,9,27.2,756,19.5,,0.6,,0.016,35.9,125.8,,
2019-05-29,9,33.4,628,15,,1,,0.017,19.8,87,,
2019-06-21,13,47.4,672,29.4,,1,,,,,,
2019-06-21,13,38.9,555,16.3,,0.8,,,,,,
2019-05-02,12,31.5,553,15.5,,1,,,,,,
2019-05-02,12,29.4,582,20,,1.2,,,,,,
2019-06-12,17,,,0,,,,0.017,17.5,8.2,,
2019-06-12,18,,,0,,,,0.011,28,139.4,,
2019-03-28,9,46.8,682,9.9,,1,,,,,,
2019-03-28,9,56.8,693,8.6,,1,,,,,,
2019-03-27,10,42.7,531,17.3,,1.5,,0.016,19.5,62.7,,
2019-03-27,10,134.6,387,25.2,,1.8,,0.012,11.8,546.3,,
2019-07-24,8,42.9,793,56,,1,,0.004,115.1,286.8,,
2019-07-24,9,40.7,626,39.2,,0.9,,0.015,86.9,195.5,,
2019-03-25,10,33.5,570,17.6,,2.7,,0.014,28.1,26.8,,
2019-03-25,10,32.6,483,15.5,,3.1,,0.011,16.4,4.2,,
2019-06-25,8,30.8,428,13.7,,0.2,,,,,,
2019-06-25,8,24.5,590,45.6,,0.4,,,,,,
2019-03-26,9,13.5,651,22,,1.9,,0.008,11.9,27.1,,
2019-03-26,9,10.7,594,17.9,,2,,0.01,14.5,20.5,,
2019-05-03,8,17,562,29.5,,0.5,,0.008,22.2,77.8,,
2019-05-03,8,27.6,704,14.5,,0.3,,0.007,26.5,15.1,,
2019-04-29,10,16.5,345,3.7,,1.1,,0.013,61.4,44.5,,
2019-04-25,9,33.9,533,5.1,,1.9,,0.006,33.3,14.9,,
2019-04-25,9,39.5,465,3.8,,2.5,,0.024,45.3,14.8,,
2019-05-03,10,56.6,551,12.6,,0.6,,0.026,11.1,0,,
2019-05-03,10,50,458,31.5,,0.5,,0.021,7.4,0,,
2019-04-10,10,45.1,410,36,,0.8,,0.016,11.1,0,,
2019-04-10,10,44,423,33.2,,0.7,,0.016,11.1,0,,
2019-05-16,9,38.3,772,17.7,,1,,0.016,45.5,108.7,,
2019-05-16,9,41.1,738,18.9,,1.1,,0.015,43.8,82.8,,
2019-06-12,8,44.5,628,19.5,,0.6,,0.013,41.7,13,,
2019-06-12,8,41.4,717,25.5,,0.8,,0.023,31.1,13.2,,
2019-06-19,9,40.8,679,6.8,,0.4,,0.012,32.1,7.2,,
2019-06-19,9,36.2,773,5.5,,0.6,,0.016,31.7,10.4,,
2019-05-28,10,47.8,485,61.1,,0.5,,,,,,
2019-05-28,10,47.5,495,83.8,,0.5,,,,,,
2019-05-16,9,44.9,668,21.5,,0.9,,0.014,42.2,107.2,,
2019-05-16,9,35.7,726,42.1,,1.3,,0.017,140.8,125.9,,
2019-05-16,9,41.5,782,48.6,,1.5,,0.014,54.9,125.2,,
2019-05-03,10,45.1,420,9.4,,0.5,,0.023,7.4,0,,
2019-05-03,10,43.4,431,19.7,,0.5,,0.022,7.4,0,,
2019-06-22,10,50.6,516,26.5,,0.9,,,,,,
2019-06-22,10,47.7,477,8.6,,0.7,,,,,,
2019-05-23,10,63.2,414,17.5,,1.9,,,,,,
2019-05-23,10,66.7,364,19.8,,2.2,,,,,,
2019-04-25,9,33.9,533,5.1,,1.9,,0.006,33.3,14.9,,
2019-04-25,9,39.5,465,3.8,,2.5,,0.024,5.3,14.8,,
2019-04-08,11,43.5,682,19.2,,0.8,,,,,,
2019-04-08,11,49.1,550,24.3,,0.8,,,,,,
2019-03-15,9,48.7,558,8.8,,1.1,,,,,,
2019-03-15,9,42.8,625,9.9,,1.2,,,,,,
2019-03-12,9,14.5,573,26.7,,2.1,,,,,,
2019-03-12,9,77.7,511,15.2,,1.9,,,,,,
2019-03-12,10,34.6,638,24.9,,2.5,,0.033,50,79,,
2019-03-12,10,61.7,745,17.9,,2.4,,0.022,80,207.8,,
2019-03-21,9,44.6,660,18.5,,2.2,,0.02,28.4,180.1,,
2019-03-21,9,39.6,496,20.3,,2.1,,0.01,59.6,91.8,,
2019-03-21,9,41.3,576,20.9,,2.2,,0.01,24.8,249.2,,
2019-05-26,9,72.5,684,20.8,,1.7,,0.014,,208.1,,
2019-05-26,9,70.3,672,19.1,,1.4,,0.013,,255,,
2019-05-26,9,,,0,,,,,119,,,
2019-05-26,9,,,0,,,,,122,,,
2019-06-14,10,39.9,348,4.1,,1.5,,0.012,46.3,111.4,,
2019-06-14,10,39.2,252,2.7,,1.4,,0.009,40.3,293.7,,
2019-07-11,17,50.8,361,6.8,,1.8,,0.013,59.1,105.1,,
2019-07-11,17,47.7,518,16.6,,2,,0.022,52.1,219.5,,
2019-05-28,17,51.8,798,3.9,,0.9,,0.02,19.6,128,,
2019-05-28,9,43.1,535,6.8,,0.7,,0.01,18.5,163.6,,
2019-04-26,10,41.8,614,23.7,,0.4,,0.012,52.6,102.3,,
2019-04-26,10,36.7,615,21.5,,0.4,,0.011,54.6,144.9,,
2019-06-25,11,48.5,631,22.9,,0.4,,0.016,17.8,261.6,,
2019-06-25,11,44.7,597,22.8,,0.6,,0.012,20.5,264.3,,
2019-04-29,10,32,606,68.3,,0.6,,0.013,45.4,171.1,,
2019-04-29,10,25.6,630,31.8,,0.8,,0.013,50.1,277,,
2019-03-13,9,20,831,10.8,,0,,,,,,
2019-03-13,11,26.1,756,10,,0,,,,,,
2019-06-20,10,44.8,635,58.3,,1.1,,,,,,
2019-06-20,10,46.6,688,47.8,,1,,,,,,
2019-04-30,10,41.1,569,64.4,,0.2,,0.008,39.8,11.5,,
2019-04-30,10,48.8,387,49.8,,0.2,,0.055,37,4.9,,
2019-05-21,9,81.8,675,28,,1.3,,,,,,
2019-05-21,9,92.1,602,21.4,,1.2,,,,,,
2019-08-29,9,29.5,444,22.5,,0.8,,,,,,
2019-08-29,11,30.3,510,9.5,,0.9,,,,,,
2019-04-23,9,49.3,533,57,,1.5,,,,,,
2019-04-23,9,59.6,478,59.1,,1.2,,,,,,
2019-05-08,8,29.6,345,38.9,,0.6,,,,,,
2019-05-08,8,19.9,451,15.9,,0.8,,,,,,
2019-04-09,9,73,579,9.9,,1.4,,,,,,
2019-04-09,9,72.6,562,12.8,,1,,,,,,
2019-02-13,14,69.2,723,4.6,,1.4,,,,,,
2019-02-13,14,79.7,797,21.2,,1.5,,,,,,
2019-05-03,10,49.9,427,41,,0.7,,,,,,
2019-05-03,10,51,477,14.7,,0.7,,,,,,
2019-02-14,14,60.3,668,11.6,,0.9,,,,,,
2019-02-14,14,47,737,28.9,,1,,,,,,
2019-04-26,9,44.5,692,18.9,,0.7,,0.008,,185.9,,
2019-04-26,9,43.4,529,13,,0.6,,0.009,,52.3,,
2019-02-15,15,58.8,986,23.6,,1,,,,,,
2019-02-15,15,74.2,971,23.4,,1.2,,,,,,
2019-04-03,9,44.9,504,15.4,,0.6,,0.027,62.9,121.7,,
2019-04-03,9,49.2,608,9.5,,0.4,,0.023,76.9,200.7,,
2019-06-24,9,59,626,88.1,,1.2,,,,,,
2019-06-24,9,62,527,91.4,,1,,,,,,
2019-04-03,8,64.6,589,19.6,,1,,0.001,19.6,262.1,,
2019-04-03,8,57.2,785,19.8,,1.2,,0.002,15.9,284.6,,
2019-04-03,8,58,513,20.9,,0.1,,0.002,9.6,231,,
2019-04-03,8,60.5,597,20.2,,0.1,,0.001,9.4,276.9,,
2019-05-09,9,52.7,579,26.7,,1.1,,,,,,
2019-05-09,9,53.7,613,39.9,,1.2,,,,,,
2019-04-05,9,60.4,711,25,,1.5,,,,,,
2019-04-05,9,53,634,28.4,,1.8,,,,,,
2019-07-08,9,26.7,952,46.9,,0.9,,,,,,
2019-07-08,9,30.9,598,17.3,,0.8,,,,,,
2019-06-27,9,33.7,964,96.3,,1.1,,0.015,21.4,363,,
2019-06-27,9,49.6,583,52.7,,1.2,,0.015,26,156.9,,
2019-03-27,10,39.6,619,16.4,,1,,,,,,
2019-03-27,10,54.7,538,15.9,,0.1,,,,,,
2019-06-25,8,48.4,738,42,,1.2,,0,0,0,,
2019-06-25,8,42.3,769,31.2,,1.3,,0,0,0,,
