tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-11-12,15,,,0,,,,,,90.7,,
2019-05-06,8,68.8,455,32,,2,,,,,,
2019-05-06,8,91.6,488,41.2,,1.8,,,,,,
2019-04-28,9,71.3,387,32.6,,1.5,,,,,,
2019-04-28,9,55.3,359,28.1,,1.5,,,,,,
2019-05-03,15,96.1,490,14.6,,0.8,,,,,,
2019-05-03,15,90.6,665,16.7,,0.9,,,,,,
2019-05-03,15,99,774,18.8,,0.9,,,,,,
2019-04-28,15,75.1,572,40.3,,1.4,,,,,,
2019-04-28,15,44.9,536,38.9,,1.3,,,,,,
2019-05-14,10,63.5,532,9.3,,0.9,,,,,,
2019-05-14,10,72.6,564,9.8,,0.6,,,,,,
2019-05-14,10,65.7,568,6,,1.1,,,,,,
2019-05-14,10,72.3,531,8.3,,0.8,,,,,,
2019-04-27,15,68.3,630,28.3,,1.3,,,,,,
2019-04-27,15,41.8,442,22.3,,1.4,,,,,,
2019-05-04,8,88.9,575,21.7,,1.9,,,,,,
2019-05-04,8,91.3,548,19,,1.8,,,,,,
2019-05-04,8,83.3,570,19.8,,2.1,,,,,,
2019-05-13,10,77.7,550,10.9,,0.5,,,,,,
2019-05-13,10,75.4,522,10.6,,0.6,,,,,,
2019-05-13,10,73.8,529,8.1,,0.9,,,,,,
2019-05-22,10,75.5,466,7.3,,0.5,,,,,,
2019-05-22,10,73.3,483,9.7,,0.8,,,,,,
2019-05-22,10,75.1,525,6.8,,0.6,,,,,,
2019-04-28,7,31.4,419,35.7,,0.6,,,,,,
2019-04-28,7,38.1,450,26.8,,0.7,,,,,,
2019-04-28,7,62.8,450,28.5,,0.6,,,,,,
2019-05-09,16,40.1,471,22.3,,0.7,,,,,,
2019-05-09,16,71.7,529,22.8,,0.9,,,,,,
2019-05-08,15,81.2,431,30.2,,2.1,,,,,,
2019-05-08,15,48.4,418,31.6,,2,,,,,,
2019-05-08,15,84.6,421,35.9,,1.9,,,,,,
2019-03-26,14,86.5,618,11.2,,0.9,,,,,,
2019-03-26,14,94.7,669,11.8,,1.2,,,,,,
2019-05-09,16,48.5,493,39.2,,2,,,,,,
2019-05-09,16,42.1,418,19.6,,2.3,,,,,,
2019-05-09,16,76.8,502,28.3,,2.3,,,,,,
2019-03-26,14,76.3,426,9.1,,1.1,,,,,,
2019-03-26,14,73.3,535,8.5,,0.7,,,,,,
2019-04-27,15,45.1,469,20.5,,0.7,,,,,,
2019-04-27,15,80.6,556,27.8,,0.6,,,,,,
2019-04-27,16,78.3,540,26.4,,0.7,,,,,,
2019-04-27,16,43.6,454,20,,0.7,,,,,,
2019-06-18,8,87.2,595,22.4,,3.1,,,,,,
2019-06-18,8,43.7,535,21.7,,3.2,,,,,,
2019-06-18,8,71.3,573,28.3,,3.2,,,,,,
2019-06-18,8,61.2,562,21.3,,3.1,,,,,,
2019-06-18,8,46.6,579,17.7,,3.6,,,,,,
2019-06-18,8,30.3,569,38.5,,3.3,,,,,,
2019-06-22,9,75.6,482,34.7,,3,,,,,,
2019-06-22,9,75.7,477,24.6,,1.3,,,,,,
2019-06-22,10,57.4,536,33.4,,1,,,,,,
2019-06-22,10,58.8,521,30.5,,3.1,,,,,,
2019-06-22,9,123.6,523,20.6,,2.9,,,,,,
2019-06-22,9,100.1,533,31.6,,0.8,,,,,,
2019-06-22,8,88.4,489,37.5,,2.7,,,,,,
2019-06-22,8,44.2,497,32.1,,0.9,,,,,,
2019-06-22,8,53.3,503,10.4,,1.1,,,,,,
2019-06-22,8,47.9,494,5.9,,3.9,,,,,,
2019-06-22,8,26.2,471,25.4,,1,,,,,,
2019-06-15,8,70.6,496,17.3,,1.4,,,,,,
2019-06-15,8,52,546,28.3,,1.7,,,,,,
2019-06-15,8,96.2,654,35.9,,2.1,,,,,,
2019-06-15,8,59.1,545,30,,1.9,,,,,,
2019-03-28,14,85.1,563,8.7,,1.6,,,,,,
2019-03-28,14,94.7,604,9.4,,1.7,,,,,,
2019-03-29,14,83,585,5.9,,1.7,,,,,,
2019-03-29,14,86.4,595,6.2,,1.3,,,,,,
2019-03-28,14,94.4,528,10.6,,0.8,,,,,,
2019-03-28,14,81,578,11.1,,1.2,,,,,,
2019-04-30,9,34.7,400,25.2,,1.5,,,,,,
2019-04-30,9,68.7,421,19.2,,1.5,,,,,,
2019-04-29,8,82.3,446,31.9,,1.6,,,,,,
2019-04-29,8,75.1,435,23.5,,1.9,,,,,,
2019-04-29,8,90.6,443,34.7,,1.7,,,,,,
2019-05-16,10,72.1,558,10.2,,0.7,,,,,,
2019-05-16,10,79.4,526,10.6,,0.5,,,,,,
2019-05-16,10,73.7,518,11.9,,0.7,,,,,,
2019-04-30,9,35.6,468,37,,1.6,,,,,,
2019-04-30,9,59,403,23.5,,1.8,,,,,,
2019-04-30,9,62.3,434,21.2,,1.8,,,,,,
2019-04-29,9,49.7,387,18,,1.4,,,,,,
2019-04-29,9,89.1,421,23.8,,1.4,,,,,,
2019-05-21,10,64.6,455,9.7,,0.7,,,,,,
2019-05-21,10,74.5,490,9.1,,0.7,,,,,,
2019-05-21,10,63.7,527,11.4,,0.6,,,,,,
2019-05-20,10,69.3,448,8.2,,0.6,,,,,,
2019-05-20,10,77.9,457,7.4,,0.4,,,,,,
2019-05-20,10,71.2,507,9.2,,0.6,,,,,,
2019-05-17,10,67.7,560,16.3,,0.8,,,,,,
2019-05-17,10,74.4,531,11.2,,0.8,,,,,,
2019-05-17,10,77.6,515,11,,0.8,,,,,,
2019-04-29,15,86.2,444,33,,1.4,,,,,,
2019-04-29,15,91.4,498,22.4,,1.5,,,,,,
2019-04-29,15,74.1,401,30.1,,1.6,,,,,,
2019-03-27,14,67.4,559,6.6,,0.8,,,,,,
2019-03-27,14,74.5,487,6,,0.6,,,,,,
2019-05-07,9,59.7,415,4.3,,1,,,,,,
2019-05-07,9,45.4,402,4.5,,0.8,,,,,,
2019-05-07,9,41.4,428,5.3,,0.9,,,,,,
2019-05-07,9,47.8,382,4.1,,0.9,,,,,,
2019-05-03,9,54.7,416,6.7,,1,,,,,,
2019-05-03,9,44.6,395,6.8,,0.8,,,,,,
2019-04-23,9,26.2,420,7.3,,0.7,,,,,,
2019-04-23,10,24.8,432,5.5,,0.7,,,,,,
2019-04-24,9,38.1,411,7.2,,0.6,,,,,,
2019-04-24,11,41.9,432,5.4,,0.9,,,,,,
2019-04-24,12,47.8,397,6,,0.6,,,,,,
2019-04-24,14,36.8,393,4.8,,0.6,,,,,,
2019-04-23,12,31,416,6.4,,0.8,,,,,,
2019-04-23,13,15.3,410,6.1,,0.9,,,,,,
