tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
2019-05-31,9,88.5,561,9.2,,1.6,,,,,,
2019-06-01,10,87.3,494,13.4,,1.2,,,,,,
2019-06-01,10,81,489,13.2,,1.2,,,,,,
2019-06-01,9,70.4,514,10,,1.2,,,,,,
2019-06-01,9,82.3,532,9.5,,1.2,,,,,,
2019-05-25,9,50.9,522,12.9,,2.2,,,,,,
2019-05-25,9,40.8,505,15.4,,3.6,,,,,,
2019-05-25,11,53.8,504,15,,3.3,,,,,,
2019-05-08,8,96.4,550,14.3,,2,,0.05,10.3,182.7,,
2019-05-08,8,85.6,579,16.7,,1.8,,0.05,16.1,196.5,,
2019-05-08,8,87.7,646,21.5,,1.7,,0.04,9,169,,
2019-02-18,10,176.4,478,8.3,,3.8,,0.084,24.7,1202.2,,
2019-02-18,10,111.6,553,4.3,,14.4,,0.18,21.2,2990.9,,
2019-02-18,10,84.1,517,12.3,,8.5,,0.123,23.5,632.1,,
2019-02-20,10,42.5,569,8.9,,0.4,,0.071,21.7,189.1,,
2019-02-20,10,49.1,577,16,,0.4,,0.073,22.2,354.5,,
2019-05-10,9,58.3,396,5.4,,3,,,,,,
2019-05-10,10,41.3,415,5.3,,2.8,,,,,,
2019-04-11,8,88.1,448,32.6,,1.4,,0.04,39.7,73.8,,
2019-04-11,8,81.7,474,25.9,,2,,0.07,27.4,161.3,,
2019-04-11,8,86.6,506,7.1,,1.4,,0.07,18.8,80.8,,
2019-04-11,8,83.6,520,5.6,,1.7,,0.06,20.7,154.1,,
2019-04-11,9,83.5,576,30,,1.9,,0.05,14.3,200.3,,
2019-04-11,9,82.3,608,35.7,,1.4,,0.04,17.4,189.1,,
2019-05-29,8,66.2,552,16.4,,0.9,,0.017,11.7,79.4,,
2019-05-29,8,59,415,24.7,,0.8,,0.018,25.9,129.4,,
2019-11-07,9,145.1,428,10.1,,1.9,,,,,,
2019-11-07,9,129,379,6.6,,1.5,,,,,,
2019-03-18,10,46.3,576,6.5,,1.8,,,,,,
2019-03-18,10,52.3,584,9.2,,1.6,,,,,,
2019-03-18,10,50.5,537,8.8,,1.7,,,,,,
2019-03-18,10,48.8,547,13.3,,1.9,,,,,,
2019-04-16,9,63.4,667,9,,1.4,,0.023,12,92.5,,
2019-04-16,9,60.5,636,3.5,,1.5,,0.021,8,80.8,,
2019-01-29,11,63.8,401,9.8,,2,,,,,,
2019-01-29,11,26,499,6.5,,2.1,,,,,,
2019-01-29,11,61.3,312,7,,1.8,,,,,,
2019-05-30,9,79.6,510,14,,2,,,,,,
2019-05-30,9,82.9,519,11.7,,2.1,,,,,,
2019-05-30,9,75.8,548,15.1,,2.3,,,,,,
2019-05-30,9,73.7,610,11.9,,2.1,,,,,,
2019-06-26,8,84.9,549,11.5,,1,,,,,,
2019-06-26,8,75.9,574,14.3,,1.2,,,,,,
2019-04-23,9,83.4,644,22.2,,2.7,,,,,,
2019-04-23,9,97,663,25,,2.4,,,,,,
2019-06-19,10,61.2,539,9.6,,1.7,,0.026,44.1,125.2,,
2019-06-19,10,64,564,8.2,,1.8,,0.024,22.4,190.5,,
2019-05-23,9,71.5,542,12.9,,2.1,,0.034,18.4,283.9,,
2019-05-23,9,73.4,567,14.2,,1.9,,0.028,27.9,212.1,,
2019-05-23,9,77.5,501,13.6,,1.8,,0.032,19,381.2,,
2019-05-02,9,109.7,484,2.7,,1.1,,0.033,22.3,189.3,,
2019-05-02,9,89.2,461,2.8,,0.8,,0.027,19.8,225.4,,
2019-05-16,10,72.9,741,16.9,,6.1,,0.05,20,874.3,,
2019-05-16,10,81.8,739,16.4,,6.8,,0.052,30,587.6,,
2019-09-23,14,77.1,683,9,,2.8,,0.023,47,265.7,,
2019-09-23,15,72.8,692,7.9,,3,,0.019,15,157.2,,
2019-05-27,12,61.1,828,27.7,,12.4,,,,,,
2019-05-27,12,37.4,694,26.4,,11.6,,,,,,
2019-05-20,9,120.3,818,21.3,,3.2,,0.015,21.7,300.2,,
2019-05-20,9,135.7,773,10.5,,3.2,,0.017,11.2,139.7,,
2019-05-20,9,106.5,444,6.9,,1.1,,0.013,21.1,51.7,,
2019-05-20,9,94.3,718,9.9,,2.6,,0.011,21,120.4,,
2019-04-23,10,152.2,756,25.7,,4.3,,,,,,
2019-04-23,10,147,729,27.5,,3.2,,,,,,
2019-04-23,10,111.6,653,19,,2.6,,,,,,
2019-04-23,10,123.5,557,13.8,,1.5,,,,,,
2019-05-22,10,83.8,718,7,,2.1,,0.04,22.4,212.1,,
2019-05-22,10,77.6,696,6.4,,2.1,,0.041,23.4,318.4,,
2019-07-03,10,71.5,661,18.2,,2.3,,0.026,48,307.8,,
2019-07-03,10,73.2,738,30.9,,2.7,,0.029,23,570,,
2019-05-17,8,76.1,563,20.6,,3.1,,0.039,23,847.7,,
2019-05-17,8,73.8,598,25.8,,3.2,,0.041,51,719.6,,
2019-05-28,9,77.6,505,33.6,,1.7,,0.028,99.7,940.5,,
2019-05-28,9,70.3,517,27.3,,1.4,,0.019,133.7,985.3,,
2019-03-28,8,89.1,498,19.5,,1.9,,0.17,19.4,296.8,,
2019-03-28,8,86.7,602,13.3,,2.1,,0.16,34.3,248.2,,
2019-03-21,9,63.1,704,30.3,,3.9,,,,,,
2019-03-21,9,70.1,776,32.5,,4.3,,,,,,
2019-03-04,10,68.1,636,23.4,,2.7,,,,,,
2019-03-04,10,66.8,429,24.8,,2.1,,,,,,
2019-03-21,10,67.7,474,22.9,,1.1,,,,,,
2019-03-21,10,68.4,528,18.2,,3.1,,,,,,
2019-03-04,12,79.5,736,17.2,,8.5,,,,,,
2019-03-04,12,76,720,17.4,,7.4,,,,,,
2019-06-05,8,77.6,729,18.1,,2.2,,0.023,84,795.5,,
2019-06-05,8,79.9,843,19.9,,2.4,,0.021,41,168.6,,
2019-03-04,10,71.1,436,18.4,,1.6,,,,,,
2019-03-04,10,62.4,567,31.3,,1.4,,,,,,
2019-06-04,8,109.6,631,48,,4.2,,,,,,
2019-06-04,8,116.9,675,32.6,,5.6,,,,,,
2019-05-21,8,87.7,495,20.5,,2.6,,0.054,78.6,280,,
2019-05-21,8,98.9,520,11.3,,2.9,,0.057,17.4,131.3,,
2019-03-18,8,65.5,583,5.8,,1.8,,,,,,
2019-03-18,8,56.8,576,7.5,,1.7,,,,,,
2019-05-07,10,88.6,630,7.1,,2.4,,,,,,
2019-05-07,10,82.5,765,13.6,,3,,,,,,
2019-05-21,8,92.8,475,9.1,,1.8,,,,,,
2019-05-21,8,94.9,450,8.9,,2.1,,,,,,
2019-05-21,8,95.6,457,8.9,,2.4,,,,,,
2019-03-11,9,74.5,583,19.1,,2.4,,0.021,,367,,
2019-03-11,9,83.7,557,19.8,,2.2,,0.025,,550.1,,
2019-03-11,9,87,547,12.5,,2.1,,0.021,,329.1,,
2019-03-11,9,71.7,518,13.8,,2.2,,0.026,,326.6,,
2019-03-11,9,82.8,468,13.8,,4,,,,,,
2019-03-11,9,74.8,470,14.6,,4.2,,,,,,
2019-05-28,10,79.4,743,10.1,,1.5,,,,,,
2019-05-28,10,79,830,26.8,,2.4,,,,,,
2019-05-28,10,76.8,728,7.9,,2,,,,,,
2019-05-28,10,72.2,777,21.5,,1.2,,,,,,
