serno,tmfc,tmfc_d,ID,tmfc_h,pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2,tab
AMI242210004,2.0221E+13,20221013,51,0,8.5,5.7,5.4,35.6,23.1,164.43,1.36,0,2.6,0,619,0
AMI242210004,2.0221E+13,20221013,52,0,8.5,5.7,5.4,35.7,23,166.46,1.36,0,2.6,0,619,0
AMI242210004,2.0221E+13,20221013,53,0,9.1,6.1,5.8,35.7,23.1,165.65,1.36,0,2.6,0,618,0
AMI242210004,2.0221E+13,20221013,54,0,9.1,6.1,5.8,35.7,23.1,165.66,1.36,0,2.6,0,618,0
AMI242210004,2.0221E+13,20221013,55,0,8.6,5.7,5.4,35.7,23.1,166.68,1.36,0,2.6,0,617,0
AMI242210004,2.0221E+13,20221013,56,0,7.3,5,4.7,35.7,23.1,164.84,1.36,0,2.6,0,617,0
AMI242210004,2.0221E+13,20221013,57,0,7.3,5,4.7,35.7,23,164.85,1.35,0,2.6,0,617,0
AMI242210004,2.0221E+13,20221013,58,0,7.3,5,4.7,35.7,23,164.45,1.35,0,2.6,0,617,0
AMI242210004,2.0221E+13,20221013,59,0,8.4,5.8,5.5,35.7,23,164.45,1.35,0,2.4,0,617,0
AMI242210004,2.0221E+13,20221013,60,0,7.9,5.8,5.5,35.7,23.1,164.45,1.34,0,2.4,0,616,0
AMI242210004,2.0221E+13,20221013,61,1,8.6,5.8,5.5,35.7,23,164.86,1.34,0,2.4,0,615,0
AMI242210004,2.0221E+13,20221013,62,1,8.6,5.8,5.5,35.7,23,164.86,1.33,0,2.4,0,614,0
AMI242210004,2.0221E+13,20221013,63,1,7.7,5.8,5.5,35.7,23,164.44,1.34,0,2.4,0,613,0
AMI242210004,2.0221E+13,20221013,64,1,9.1,6.2,5.9,35.7,23,165.25,1.34,0,2.4,0,613,0
AMI242210004,2.0221E+13,20221013,65,1,8.7,5.9,5.6,35.8,23.1,164.44,1.34,0,2.4,0,611,0
AMI242210004,2.0221E+13,20221013,66,1,8.7,5.9,5.6,35.7,23,164.44,1.35,0,2.4,0,610,0
AMI242210004,2.0221E+13,20221013,67,1,8.7,5.9,5.6,35.8,23.1,164.45,1.34,0,2.4,0,610,0
AMI242210004,2.0221E+13,20221013,68,1,8.8,5.6,5.3,35.7,23.1,164.44,1.34,0,2.6,0,609,0
AMI242210004,2.0221E+13,20221013,69,1,7.6,5.6,5.3,35.8,23.1,164.45,1.34,0,2.6,0,608,0
AMI242210004,2.0221E+13,20221013,70,1,9.1,5.7,5.4,35.7,23,164.44,1.33,0,2.6,0,607,0
AMI242210004,2.0221E+13,20221013,71,1,9.1,5.7,5.4,35.8,23,164.44,1.33,0,2.6,0,607,0
AMI242210004,2.0221E+13,20221013,72,1,8.5,5.7,5.4,35.8,23.1,162.41,1.33,0,2.6,0,606,0
AMI242210004,2.0221E+13,20221013,73,1,8.4,5.7,5.4,35.8,22.9,162.82,1.32,0,2.6,0,605,0
AMI242210004,2.0221E+13,20221013,74,1,8.1,5.4,5.1,35.8,23,162,1.32,0,2.6,0,604,0
AMI242210004,2.0221E+13,20221013,75,1,7.9,5.6,5.3,35.8,23,162.01,1.32,0,2.6,0,604,0
AMI242210004,2.0221E+13,20221013,76,1,7.8,5.5,5.2,35.8,23,164.04,1.31,0,2.6,0,604,0
AMI242210004,2.0221E+13,20221013,77,1,7.7,5.6,5.3,35.7,23,162.02,1.31,0,2.3,0,603,0
AMI242210004,2.0221E+13,20221013,78,1,7.7,5.6,5.3,35.7,22.9,162.03,1.31,0,2.3,0,603,0
AMI242210004,2.0221E+13,20221013,79,1,8,5.4,5.1,35.7,23,162.24,1.31,0,2.3,0,602,0
AMI242210004,2.0221E+13,20221013,80,1,8.5,5.7,5.4,35.8,23,162.03,1.3,0,2.3,0,602,0
AMI242210004,2.0221E+13,20221013,81,1,8.5,5.7,5.4,35.7,22.9,162.04,1.3,0,2.3,0,602,0
AMI242210004,2.0221E+13,20221013,82,1,8.9,5.8,5.5,35.7,23,162.04,1.3,0,2.3,0,602,0
AMI242210004,2.0221E+13,20221013,83,1,6.6,5.2,4.9,35.8,23,162.04,1.3,0,2.3,0,601,0
AMI242210004,2.0221E+13,20221013,84,1,7.6,5.2,4.9,35.7,23,162.05,1.3,0,2.3,0,600,0
AMI242210004,2.0221E+13,20221013,85,1,7.6,5.2,4.9,35.6,23,162.05,1.3,0,2.3,0,600,0
AMI242210004,2.0221E+13,20221013,86,1,8.5,5.7,5.4,35.9,23,162.06,1.3,0,2.3,0,599,0
AMI242210004,2.0221E+13,20221013,87,1,7.7,5.9,5.6,35.8,23,162.05,1.3,0,2,0,597,0
AMI242210004,2.0221E+13,20221013,88,1,7.7,5.9,5.6,35.8,23.1,162.04,1.3,0,2,0,597,0
AMI242210004,2.0221E+13,20221013,89,1,7.6,5.5,5.2,35.7,22.9,164.28,1.31,0,2,0,596,0
AMI242210004,2.0221E+13,20221013,90,1,7.6,5.5,5.2,35.8,22.9,162.45,1.3,0,2,0,596,0
AMI242210004,2.0221E+13,20221013,91,1,9,5.7,5.4,35.8,23,162.04,1.3,0,2,0,594,0
AMI242210004,2.0221E+13,20221013,92,1,9,5.7,5.4,36,22.9,161.02,1.3,0,2,0,593,0
AMI242210004,2.0221E+13,20221013,93,1,7.8,5.3,5,35.9,23,162.04,1.29,0,2,0,593,0
AMI242210004,2.0221E+13,20221013,94,1,8.7,5.4,5.1,35.7,23,162.05,1.29,0,2,0,591,0
AMI242210004,2.0221E+13,20221013,95,1,7.8,5.6,5.3,35.8,22.9,162.05,1.29,0,2,0,590,0
AMI242210004,2.0221E+13,20221013,96,1,7.8,5.6,5.3,35.8,22.9,162.06,1.29,0,2,0,590,0
AMI242210004,2.0221E+13,20221013,97,1,7.8,5.6,5.3,35.9,23,162.06,1.29,0,2,0,590,0
AMI242210004,2.0221E+13,20221013,98,1,9.1,5.6,5.3,35.8,22.9,164.09,1.29,0,1.5,0,589,0
AMI242210004,2.0221E+13,20221013,99,1,9.1,5.6,5.3,35.8,23,163.27,1.29,0,1.5,0,589,0
AMI242210004,2.0221E+13,20221013,100,1,7.9,5.4,5.1,35.8,22.9,162.05,1.28,0,1.5,0,589,0
AMI242210004,2.0221E+13,20221013,101,1,7.9,5.4,5.1,35.8,23,164.28,1.28,0,1.5,0,589,0
AMI242210004,2.0221E+13,20221013,102,1,9.1,5.5,5.2,35.8,22.9,162.86,1.28,0,1.5,0,589,0
AMI242210004,2.0221E+13,20221013,103,1,8,5.3,5,35.9,22.9,162.05,1.28,0,1.5,0,589,0
AMI242210004,2.0221E+13,20221013,104,1,7.1,5.2,4.9,35.9,23,162.26,1.28,0,1.5,0,588,0
AMI242210004,2.0221E+13,20221013,105,1,8.3,5.7,5.4,35.8,22.8,162.86,1.28,0,1.5,0,587,0
AMI242210004,2.0221E+13,20221013,106,1,8.3,5.4,5.1,36,22.8,162.87,1.27,0,1.5,0,587,0
AMI242210004,2.0221E+13,20221013,107,1,8.2,5.8,5.5,35.9,23,162.06,1.27,0,1.5,0,587,0
AMI242210004,2.0221E+13,20221013,108,1,8.2,5.8,5.5,35.9,22.9,162.05,1.27,0,1.5,0,587,0
AMI242210004,2.0221E+13,20221013,109,1,7.2,5.2,4.9,35.9,23,162.06,1.28,0,1.1,0,588,0
AMI242210004,2.0221E+13,20221013,110,1,7.9,5.5,5.2,35.9,22.9,162.46,1.27,0,1.1,0,588,0
AMI242210004,2.0221E+13,20221013,111,1,7.9,5.5,5.2,35.9,22.9,162.07,1.28,0,1.1,0,588,0
AMI242210004,2.0221E+13,20221013,112,1,7.9,5.6,5.3,35.8,23,162.28,1.28,0,1.1,0,587,0
AMI242210004,2.0221E+13,20221013,113,1,7.4,5.6,5.3,35.9,23,162.48,1.27,0,1.1,0,587,0
AMI242210004,2.0221E+13,20221013,114,1,7.4,5.6,5.3,36,23,162.08,1.27,0,1.1,0,587,0
AMI242210004,2.0221E+13,20221013,115,1,8.5,5.5,5.2,36.1,22.9,162.68,1.26,0,1.1,0,585,0
AMI242210004,2.0221E+13,20221013,116,1,8.1,5.2,4.9,36,22.9,164.51,1.26,0,1.1,0,585,0
AMI242210004,2.0221E+13,20221013,117,1,7.9,5.2,4.9,35.9,22.9,163.91,1.26,0,1.3,0,584,0
AMI242210004,2.0221E+13,20221013,118,1,7.7,5.2,4.9,35.9,22.9,164.53,1.26,0,1.3,0,583,0
AMI242210004,2.0221E+13,20221013,119,1,7.7,5.2,4.9,35.9,22.9,164.33,1.26,0,1.3,0,583,0
AMI242210004,2.0221E+13,20221013,120,1,8,5.4,5.1,35.9,22.9,164.53,1.26,0,1.3,0,583,0
