pm10,pm25,pm1,humi,temp,hcho,co,no2,rn,voc,co2
8.5,5.7,5.4,35.9,23,162.06,1.3,0,2.3,0,599
7.7,5.9,5.6,35.8,23,162.05,1.3,0,2,0,597
7.7,5.9,5.6,35.8,23.1,162.04,1.3,0,2,0,597
7.6,5.5,5.2,35.7,22.9,164.28,1.31,0,2,0,596
7.6,5.5,5.2,35.8,22.9,162.45,1.3,0,2,0,596
9,5.7,5.4,35.8,23,162.04,1.3,0,2,0,594
9,5.7,5.4,36,22.9,161.02,1.3,0,2,0,593
7.8,5.3,5,35.9,23,162.04,1.29,0,2,0,593
8.7,5.4,5.1,35.7,23,162.05,1.29,0,2,0,591
7.8,5.6,5.3,35.8,22.9,162.05,1.29,0,2,0,590
7.8,5.6,5.3,35.8,22.9,162.06,1.29,0,2,0,590
7.8,5.6,5.3,35.9,23,162.06,1.29,0,2,0,590
9.1,5.6,5.3,35.8,22.9,164.09,1.29,0,1.5,0,589
9.1,5.6,5.3,35.8,23,163.27,1.29,0,1.5,0,589
7.9,5.4,5.1,35.8,22.9,162.05,1.28,0,1.5,0,589
7.9,5.4,5.1,35.8,23,164.28,1.28,0,1.5,0,589
9.1,5.5,5.2,35.8,22.9,162.86,1.28,0,1.5,0,589
8,5.3,5,35.9,22.9,162.05,1.28,0,1.5,0,589
7.1,5.2,4.9,35.9,23,162.26,1.28,0,1.5,0,588
8.3,5.7,5.4,35.8,22.8,162.86,1.28,0,1.5,0,587
8.3,5.4,5.1,36,22.8,162.87,1.27,0,1.5,0,587
8.2,5.8,5.5,35.9,23,162.06,1.27,0,1.5,0,587
8.2,5.8,5.5,35.9,22.9,162.05,1.27,0,1.5,0,587
7.2,5.2,4.9,35.9,23,162.06,1.28,0,1.1,0,588
7.9,5.5,5.2,35.9,22.9,162.46,1.27,0,1.1,0,588
7.9,5.5,5.2,35.9,22.9,162.07,1.28,0,1.1,0,588
7.9,5.6,5.3,35.8,23,162.28,1.28,0,1.1,0,587
7.4,5.6,5.3,35.9,23,162.48,1.27,0,1.1,0,587
7.4,5.6,5.3,36,23,162.08,1.27,0,1.1,0,587
8.5,5.5,5.2,36.1,22.9,162.68,1.26,0,1.1,0,585
8.1,5.2,4.9,36,22.9,164.51,1.26,0,1.1,0,585
7.9,5.2,4.9,35.9,22.9,163.91,1.26,0,1.3,0,584
7.7,5.2,4.9,35.9,22.9,164.53,1.26,0,1.3,0,583
7.7,5.2,4.9,35.9,22.9,164.33,1.26,0,1.3,0,583
8,5.4,5.1,35.9,22.9,164.53,1.26,0,1.3,0,583
8,5.4,5.1,35.8,22.9,164.53,1.26,0,1.3,0,583
8.1,5.4,5.1,35.9,22.9,164.13,1.27,0,1.3,0,582
7.9,5.6,5.3,36,23,164.53,1.26,0,1.3,0,580
7.8,5.5,5.2,35.9,22.9,164.53,1.26,0,1.3,0,579
7.3,5,4.7,35.9,22.9,164.32,1.26,0,1.3,0,577
8.3,5.6,5.3,36,22.9,164.33,1.26,0,1.3,0,576
8.1,5.6,5.3,35.9,22.9,164.54,1.25,0,1.1,0,575
8.8,5.3,5,35.8,22.9,136.91,1.04,0,1.1,0,574
7.5,5,4.7,35.9,22.9,164.33,1.25,0,1.1,0,572
7.3,5.3,5,36,22.9,164.54,1.25,0,1.1,0,571
8.3,5.6,5.3,36,22.9,164.54,1.25,0,1.1,0,571
7.8,5.6,5.3,35.9,23,164.54,1.25,0,1.1,0,570
7.7,5.4,5.1,36,22.8,164.53,1.25,0,1.1,0,568
7.5,5.4,5.1,36,22.9,164.54,1.25,0,1.1,0,568
7.5,5.4,5.1,36.1,22.9,164.54,1.24,0,1.1,0,568
7.5,5.4,5.1,36.1,22.9,164.54,1.24,0,1.1,0,568
7.3,5,4.7,35.8,23,164.54,1.24,0,1.1,0,568
7.3,5,4.7,36,22.9,164.15,1.25,0,1.1,0,568
6.8,4.9,4.7,36,22.9,164.55,1.24,0,0.7,0,568
7.1,5.3,5,35.9,22.9,164.55,1.23,0,0.7,0,567
7,4.9,4.7,35.9,22.9,164.54,1.23,0,0.7,0,566
7,4.9,4.7,35.9,22.9,164.55,1.24,0,0.7,0,566
7.3,4.8,4.6,35.9,23,164.55,1.23,0,0.7,0,566
7.7,5.3,5,36,22.9,164.55,1.23,0,0.7,0,566
7.6,5.2,4.9,36.2,22.9,164.56,1.23,0,0.7,0,564
8.2,5.2,4.9,36,23,164.56,1.23,0,0.7,0,563
8.2,5.2,4.9,36,22.9,164.56,1.23,0,0.8,0,563
8.1,5.2,4.9,36.1,22.9,164.55,1.22,0,0.8,0,562
7.7,4.9,4.7,36,22.9,164.55,1.23,0,0.8,0,562
7,4.9,4.7,36.1,23,164.56,1.22,0,0.8,0,562
7,4.9,4.7,36,22.9,164.56,1.22,0,0.8,0,562
7.1,5,4.7,36.1,22.9,164.56,1.21,0,0.8,0,562
7.7,5.1,4.8,36,22.8,164.35,1.22,0,0.8,0,560
7.7,5.5,5.2,36.1,22.9,164.56,1.22,0,0.8,0,559
7.1,5,4.7,36,22.9,164.56,1.21,0,0.8,0,557
6.8,4.9,4.7,35.9,22.9,164.56,1.21,0,0.8,0,557
7.4,5.1,4.8,36,22.8,164.57,1.21,0,1.1,0,556
7.2,5,4.7,36.1,22.9,164.57,1.21,0,1.1,0,557
6.6,4.8,4.6,36,22.9,164.56,1.2,0,1.1,0,557
7.5,4.8,4.6,36,22.8,164.56,1.21,0,1.1,0,557
7.2,5.3,5,36,23,164.55,1.2,0,1.1,0,557
7.3,4.9,4.7,36.1,22.8,164.56,1.2,0,1.1,0,557
7.1,5,4.7,36,22.8,164.56,1.2,0,1.1,0,557
7.4,5.1,4.8,36.1,22.9,164.57,1.2,0,1.1,0,557
6.9,4.8,4.6,36,23,164.57,1.2,0,1.1,0,556
8.1,4.9,4.7,36.1,22.9,164.57,1.19,0,1.1,0,555
8.1,4.9,4.7,36.2,22.9,164.57,1.19,0,1.1,0,555
7.6,5.1,4.8,36.2,22.8,164.57,1.19,0,1.4,0,553
6.7,4.9,4.7,36,22.9,164.57,1.19,0,1.4,0,552
7.5,4.8,4.6,36,22.8,164.57,1.19,0,1.4,0,552
7.6,4.8,4.6,36,22.9,164.57,1.18,0,1.4,0,552
6.6,4.7,4.5,36.2,23,164.57,1.18,0,1.4,0,551
6.6,4.8,4.6,36.2,22.9,164.58,1.18,0,1.4,0,550
7.1,5,4.7,36.2,22.9,164.58,1.19,0,1.4,0,551
7.1,5,4.7,36.1,22.9,164.57,1.18,0,1.4,0,551
6.7,4.9,4.7,36,22.9,164.57,1.18,0,1.4,0,551
7.4,5.2,4.9,36,22.9,164.56,1.18,0,1.4,0,551
7.4,5,4.7,36.1,22.9,164.56,1.17,0,1.1,0,551
7.3,5.2,4.9,36.2,22.9,164.56,1.17,0,1.1,0,551
7.3,5.2,4.9,36,22.9,164.56,1.17,0,1.1,0,551
7.2,5.1,4.8,36.1,22.8,164.56,1.17,0,1.1,0,550
7.2,4.9,4.7,36.2,22.9,164.56,1.17,0,1.1,0,550
8,4.7,4.5,36.2,22.9,164.56,1.17,0,1.1,0,549
7,5.1,4.8,36.1,22.9,164.57,1.16,0,1.1,0,548
7,5.1,4.8,36.1,22.7,164.57,1.16,0,1.1,0,548
7,5.1,4.8,36.1,22.9,164.57,1.16,0,1.1,0,548
7,5.1,4.8,36.1,22.8,164.58,1.16,0,1.1,0,548
