tmfc_d,tmfc_h,pm10,co2,hcho,tab,co,pm25,no2,rn,voc,pm25_2,mold
20190404,9,,,0,,,,,,,4.1,59
20191101,10,18.2,625,25.8,679,0.7,17.1,,,,,
20191101,17,25.6,596,24.2,613,0.4,15.7,,,,,
20191113,9,40.1,930,16.1,498,1.9,24,0.024,53.8,230.6,,397
20191113,9,44.7,866,25,410,2,27.2,0.03,51.1,181.1,,475
20191113,13,34.6,855,21,245,,22.2,0.029,24.1,135.8,,304
20191113,13,31.7,755,16,148,,19.4,0.036,52.6,171.5,,283
20191112,9,26.1,764,13.6,713,0.4,14.3,,,,,
20191112,9,25.3,739,22.7,698,0.2,16.6,,,,,
20190701,11,20.8,657,11,272,1.4,15.6,0.008,47.8,80.2,,488
20190701,14,23.9,726,27.8,308,1.3,17.4,0.006,36.4,131.2,,209
20191114,10,16.8,756,8.2,525,1.6,11.5,,,,,
20191114,10,18.6,595,12.6,219,1.2,12.9,,,,,
20191230,14,21.4,573,13.4,62,1.4,12.5,,,,,
20191230,14,19.3,635,15.6,48,1.7,11.2,,,,,
20191129,9,35,727,20.3,583,1.8,12.1,0.013,115,150.3,,241
20191129,9,30.3,660,11.2,528,1.7,10,0.013,75,121.9,,215
20191030,9,25.9,660,15.9,435,1.9,12,,,,,
20191030,9,21.2,695,31.1,594,2.6,12.1,,,,,
20191112,8,26.7,647,33.4,524,1.2,16.2,0.018,80.4,252.4,,481
20191112,8,26.7,608,24,293,1.1,17.3,0.017,75.8,186,,318
20191127,10,44.9,963,27.4,69.6,0.9,10.6,0.009,,394.7,,35.6
20191127,11,39.1,928,18.6,126.8,0.5,14,0.007,,404.1,,52
20191127,10,,,0,,,,,61,,,
20191127,11,,,0,,,,,31,,,
20191218,13,18.4,964,4.9,462,4.6,10.3,0.019,43.4,126.6,,478
20191218,13,31.2,980,3.9,657,2.6,19.5,0.016,48.2,147.4,,387
20190507,10,,,0,,,,,,,9.4,364
20190507,10,,,0,,,,,,,11.3,485
20191217,10,19.6,932,16.6,280,2.8,13.3,0.022,78.9,187.5,,74
20191217,9,14.4,711,15.9,155,2.8,11.6,0.019,128.5,45.7,,51
20191115,12,19.8,681,7.1,190.6,1.5,13.6,0.014,35.7,88.7,,286
20191115,13,19.9,621,7.9,280.8,1.4,13,0.014,58.2,72.8,,239
20191115,12,13.8,958,10.6,129,1,7.8,,,,,
20191115,14,14.5,946,18.4,638,1,8.1,,,,,
20191213,10,19.5,602,14.6,188.5,1.4,12.8,0.018,34.9,88.8,,198
20191115,13,18.7,693,12.6,289.3,1.5,12.9,0.019,26.8,80.1,,94
20191223,10,47.3,888,13.5,206,2.9,27.5,0.017,66.1,333,,118
20191223,10,21.2,652,13.3,35,3.9,12.2,0.019,92.5,158.9,,70
20190911,8,38.5,731,20.5,732,0.8,19,0.023,36,171.3,,202
